text,created_at,clean_text,hour,weekday,day,month,sentiment,avg_gas_used,total_value,txn_count,iforest_score,iforest_anomaly,ae_error,ae_anomaly
"Hey crypto enthusiasts, join best crypto spaces - let’s discuss market and opportunities to leverage trade🔽

Books might just share cool leverage play https://t.co/y3yGs8maA4",2025-04-08 19:25:54+00:00,"hey crypto enthusiasts join best crypto spaces  let’s discuss market and opportunities to leverage trade🔽

books might just share cool leverage play",2025-04-08 19:00:00,1,8,4,0.675,21545.0,0.0,1,0.084959629505444,0,0.08486102760546224,0
@1dollar_dream Let’s fire up your crypto buzz! Ping me!,2025-04-08 19:25:54+00:00,let’s fire up your crypto buzz ping me,2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
@LadyofCrypto1 i think bull run already running last in jan now market sideways or bear +shit tariff war trade begin..stock market crash effect crypto market ..5 year ago crypto no  ETf. maker come from same source..next  3 month we all don't know what effect to global economic,2025-04-08 19:25:54+00:00,i think bull run already running last in jan now market sideways or bear shit tariff war trade beginstock market crash effect crypto market 5 year ago crypto no  etf maker come from same sourcenext  3 month we all dont know what effect to global economic,2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
"$EDU loaded my bags yesterday 
Hope you bought with me

Click link below to join 
https://t.co/qQzuHAz5p2

#Bitcoin #SONDAKIKA #Entropi #ZignalyTR #ZigChain #Kripto #CoinDelisi #ShibariumNet #Crypto #Shibtoken https://t.co/C1azbYB7uM",2025-04-08 19:25:54+00:00,"edu loaded my bags yesterday 
hope you bought with me

click link below to join 


bitcoin sondakika entropi zignalytr zigchain kripto coindelisi shibariumnet crypto shibtoken",2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
@Hannah_Crypto_ Proud to be here for this moment 🎖️,2025-04-08 19:25:53+00:00,proud to be here for this moment 🎖️,2025-04-08 19:00:00,1,8,4,0.8,21545.0,0.0,1,0.01755171864720917,0,0.12655906127737876,1
"⚠️ Struggling to access your funds on platforms like #Bitcetra, #Tepdex, #Bitgale, #Zipex, #Bicoi, #Jasmybit, #Zyncoin, #Zypbit, #Dibetcoin, #Doldex, or #Qq339? I specialize in recovering lost crypto. Contact me now for expert assistance! https://t.co/UcRzoHucrE",2025-04-08 19:25:53+00:00,⚠️ struggling to access your funds on platforms like bitcetra tepdex bitgale zipex bicoi jasmybit zyncoin zypbit dibetcoin doldex or qq339 i specialize in recovering lost crypto contact me now for expert assistance,2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
"#LUNAsire🔥

Insane Gains ALERT! 300% WEEKLY with THIS strategy!🌐

🎁Welcome: https://t.co/UzkaygF3AZ

DPXFf541 @hambadajjal6 @Alhassanmed2016 @VenusOnlenShop @HuynKhnh42 @youngdolph373 @AleArraras @Muhamme73626185 @aitradingmx @Stewpet30944657 @NgakanMadesuar1",2025-04-08 19:25:53+00:00,"lunasire🔥

insane gains alert 300 weekly with this strategy🌐

🎁welcome 

dpxff541",2025-04-08 19:00:00,1,8,4,-1.0,21545.0,0.0,1,0.0,0,0.040924329903440713,0
"@BSCNews @BNBCHAIN 2025 will be the year of $DOLLY, moon is the next stop

@Xdollyeth 

🛑 Contract Renounced
🔥 Liquidity Destroyed
🌐 Full Circulation Achieved

🔗 Contract:
0xa9D0726D0188a1E503fb959e5fC57d658D508d2a

#Dolly #Crypto https://t.co/T3Ec0i7olZ",2025-04-08 19:25:53+00:00,"2025 will be the year of dolly moon is the next stop

 

🛑 contract renounced
🔥 liquidity destroyed
🌐 full circulation achieved

🔗 contract
0xa9d0726d0188a1e503fb959e5fc57d658d508d2a

dolly crypto",2025-04-08 19:00:00,1,8,4,0.175,21545.0,0.0,1,0.17890322448813234,0,0.0024334924265729733,0
"#LUNAsire🔥

Insane Gains ALERT! 300% WEEKLY with THIS strategy!🌐

🎁Welcome: https://t.co/OPbdpp9prl

9q1IKRmE @jenniekimandu @Catbirchall1 @Azizbek0838 @BubacaC9592 @AdebisiSol66350 @esmacgam2 @BanksMarla @passthekoolaid3 @CabocloZen @BlockchainJane_",2025-04-08 19:25:53+00:00,"lunasire🔥

insane gains alert 300 weekly with this strategy🌐

🎁welcome 

9q1ikrme",2025-04-08 19:00:00,1,8,4,-1.0,21545.0,0.0,1,0.0,0,0.040924329903440713,0
"#LUNAsire🔥

Insane Gains ALERT! 300% WEEKLY with THIS strategy!🌐

🎁Welcome: https://t.co/TxJag6ks12

pR0wIOaC @MaduhuLimbu5 @drsebimd @HajaraIbra13509 @a_debets @LazarAn82715517 @MattBrett18 @wwk16ntdu0pcpr @AreEssT15253154 @denny7478 @binaryTrad80698",2025-04-08 19:25:53+00:00,"lunasire🔥

insane gains alert 300 weekly with this strategy🌐

🎁welcome 

pr0wioac",2025-04-08 19:00:00,1,8,4,-1.0,21545.0,0.0,1,0.0,0,0.040924329903440713,0
